;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
1431;RMS;Roca Sales - Passo Fundo;NDL;NGP;19,074;;NDL - NGP;9,55244;0,7;0,073279707
1432;RMS;Roca Sales - Passo Fundo;NGP;NSF;18,721;;NGP - NSF;7,39632;0,7;0,09464166
1433;RMS;Roca Sales - Passo Fundo;NSF;NKC;18,894;;NSF - NKC;11,55866;0,7;0,060560653
1434;RMS;Roca Sales - Passo Fundo;NKC;NMM;25;;NKC - NMM;3,94722;0,7;0,177340001
1435;RMS;Roca Sales - Passo Fundo;NMM;NEZ;18,902;;NMM - NEZ;3,94722;0,7;0,177340001
1436;RMS;Roca Sales - Passo Fundo;NEZ;NPF;14,22;;NEZ - NPF;3,94722;0,7;0,177340001
1437;RMS;Roca Sales - Lages;NRO;NSZ;19,012;;NRO - NSZ;8,31939;1,4;0,168281569
1438;RMS;Roca Sales - Lages;NSZ;NJB;35,603;;NSZ - NJB;4,26024;1,4;0,328619984
1439;RMS;Roca Sales - Lages;NJB;NCG;18,257;;NJB - NCG;8,51382;1,4;0,164438525
1440;RMS;Roca Sales - Lages;NCG;NFF;16,182;;NCG - NFF;8,99107;1,4;0,155710055
1441;RMS;Roca Sales - Lages;NFF;NJO;20,761;;NFF - NJO;8,17326;1,4;0,171290281
1442;RMS;Roca Sales - Lages;NJO;NVG;34,72;;NJO - NVG;3,83337;1,4;0,365213898
1443;RMS;Roca Sales - Lages;NVG;NVA;36,23;;NVG - NVA;4,45854;1,4;0,314004136
1444;RMS;Roca Sales - Lages;NVA;NRI;19,47;;NVA - NRI;9,24615;1,4;0,151414372
1445;RMS;Roca Sales - Lages;NRI;NSQ;21,89;;NRI - NSQ;9,11702;1,4;0,153558948
1446;RMS;Roca Sales - Lages;NSQ;NEU;35,163;;NSQ - NEU;4,53213;1,4;0,308905526
1447;RMS;Roca Sales - Lages;NEU;NBR;28,347;;NEU - NBR;5,46163;1,4;0,256333732
1448;RMS;Roca Sales - Lages;NBR;LLS;9,64;;NBR - LLS;14,45367;1,4;0,096861212
1449;RMS;Rio Pardo - Triângulo;NRP;NPD;17,375;;NRP - NPD;8,86578;0,9;0,101513911
1450;RMS;Rio Pardo - Triângulo;NPD;NBX;16,713;;NPD - NBX;10,98126;0,9;0,081957808
1451;RMS;Rio Pardo - Triângulo;NBX;NCH;21,776;;NBX - NCH;7,8832;0,9;0,114166836
1452;RMS;Rio Pardo - Triângulo;NCH;NLP;21,258;;NCH - NLP;3,96197;0,9;0,227159721
1453;RMS;Rio Pardo - Triângulo;NLP;NJI;7,352;;NLP - NJI;3,96197;0,9;0,227159721
1454;RMS;Rio Pardo - Triângulo;NJI;NEV;13,54;;NJI - NEV;8,96383;0,9;0,100403511
1455;RMS;Rio Pardo - Triângulo;NEV;NRS;14,944;;NEV - NRS;8,03475;0,9;0,112013442
1456;RMS;Rio Pardo - Triângulo;NRS;NAS;23,774;;NRS - NAS;4,90919;0,9;0,183329633
1457;RMS;Rio Pardo - Triângulo;NAS;NCM;17,109;;NAS - NCM;6,4732;0,9;0,13903479
1458;RMS;Rio Pardo - Triângulo;NCM;NTM;9,2;;NCM - NTM;11,5688;0,9;0,07779545
1459;RMS;Santo Ângelo - Santa Rosa;NSN;NAI;15,585;;NSN - NAI;7,47729;0;0
1460;RMS;Santo Ângelo - Santa Rosa;NAI;NGA;26,638;;NAI - NGA;4,16988;0;0
1461;RMS;Ourinhos - Cianorte;ZOU;LMQ;7,881;;ZOU - LMQ;15,55434;1,3;0,08357796
1462;RMS;Ourinhos - Cianorte;LMQ;LCM;21,432;;LMQ - LCM;5,92492;1,3;0,219412245
1463;RMS;Ourinhos - Cianorte;LCM;LIG;28,386;;LCM - LIG;4,82687;1,3;0,269325671
1464;RMS;Ourinhos - Cianorte;LIG;LBD;23,849;;LIG - LBD;5,55359;1,3;0,234082819
1465;RMS;Ourinhos - Cianorte;LBD;LLJ;18,012;;LBD - LLJ;6,79149;1,3;0,191416022
1466;RMS;Ourinhos - Cianorte;LLJ;LSN;8,264;;LLJ - LSN;4,77351;1,3;0,272336289
1467;RMS;Ourinhos - Cianorte;LSN;LCP;17,222;;LSN - LCP;4,77351;1,3;0,272336289
1468;RMS;Ourinhos - Cianorte;LCP;LGH;18;;LCP - LGH;5,03542;1,3;0,258171116
1469;RMS;Ourinhos - Cianorte;LGH;LUR;10,818;;LGH - LUR;5,03542;1,3;0,258171116
1470;RMS;Ourinhos - Cianorte;LUR;LJY;30,296;;LUR - LJY;4,41643;1,3;0,294355396
1471;RMS;Ourinhos - Cianorte;LJY;LIR;11,033;;LJY - LIR;6,66481;1,3;0,195054323
1472;RMS;Ourinhos - Cianorte;LIR;LLL;10,092;;LIR - LLL;6,66481;1,3;0,195054323
1473;RMS;Ourinhos - Cianorte;LLL;LLD;11,75;;LLL - LLD;13,84034;1,3;0,093928328
1474;RMS;Ourinhos - Cianorte;LLD;LND;7,14;;LLD - LND;13,51164;2,3;0,1702236
1475;RMS;Ourinhos - Cianorte;LND;LRL;6,775;;LND - LRL;13,51164;2,3;0,1702236
1476;RMS;Ourinhos - Cianorte;LRL;LAG;22,605;;LRL - LAG;9,23219;2,3;0,249128322
1477;RMS;Ourinhos - Cianorte;LAG;LCV;6,045;;LAG - LCV;14,18814;2,3;0,162107225
1478;RMS;Ourinhos - Cianorte;LCV;LAP;8,981;;LCV - LAP;18,08763;2,3;0,127158727
1479;RMS;Ourinhos - Cianorte;LAP;LPR;7,658;;LAP - LPR;23,27497;7;0,300752267
1480;RMS;Ourinhos - Cianorte;LPR;LAI;6,55;;LPR - LAI;23,27497;7;0,300752267
1481;RMS;Ourinhos - Cianorte;LAI;LJD;5,409;;LAI - LJD;14,9259;7;0,468983445
1482;RMS;Ourinhos - Cianorte;LJD;LMI;5,86;;LJD - LMI;14,9259;7;0,468983445
1483;RMS;Ourinhos - Cianorte;LMI;LMA;15,247;;LMI - LMA;16,04741;7;0,436207463
1484;RMS;Ourinhos - Cianorte;LMA;LSD;11,413;;LMA - LSD;22,41942;7;0,312229308
1485;RMS;Ourinhos - Cianorte;LSD;LMN;7,06;;LSD - LMN;45,20121;7;0,154863111
1486;RMS;Ourinhos - Cianorte;LMN;LRX;9;;LMN - LRX;23,60254;7;0,29657825
1487;RMS;Ourinhos - Cianorte;LRX;LMG;4,099;;LRX - LMG;23,60254;7;0,29657825
1488;RMS;Itabopoa - Apiai;ZXZ;ZZA;30,193;;ZXZ - ZZA;3,42577;1;0,291905178
1489;RMS;Ipero - Pinhalzinho;ZIE;ZGW;12;;ZIE - ZGW;5,53539;1;0,180655744
1490;RMS;Ipero - Pinhalzinho;ZGW;ZTY;6,865;;ZGW - ZTY;5,53539;1;0,180655744
1491;RMS;Ipero - Pinhalzinho;ZTY;ZMF;21,432;;ZTY - ZMF;8,27335;1;0,120870022
1492;RMS;Ipero - Pinhalzinho;ZMF;ZGX;8;;ZMF - ZGX;7,87062;1;0,127054794
1493;RMS;Ipero - Pinhalzinho;ZGX;ZIP;9,327;;ZGX - ZIP;7,87062;1;0,127054794
