;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
275;FCA;Mapele - Monte Azul;DVS;DTT;35,924;;DVS - DTT;4,3235;0,64;0,148028218
276;FCA;Mapele - Monte Azul;DTT;DLG;19,351;;DTT - DLG;10,09387;0,64;0,063404819
277;FCA;Mapele - Monte Azul;DLG;DIL;39,602;;DLG - DIL;5,77029;0,64;0,11091297
278;FCA;Mapele - Monte Azul;DIL;DZA;18,135;;DIL - DZA;11,57227;0,64;0,05530462
279;FCA;Mapele - Monte Azul;DZA;DPW;4,868;;DZA - DPW;12,02453;0,64;0,053224534
280;FCA;Mapele - Monte Azul;DPW;DTM;28,884;;DPW - DTM;12,02453;0,64;0,053224534
281;FCA;Mapele - Monte Azul;DTM;DQI;29,574;;DTM - DQI;7,29084;0,64;0,08778138
282;FCA;Mapele - Monte Azul;DQI;DIY;44,894;;DQI - DIY;4,43845;0,64;0,144194482
283;FCA;Mapele - Monte Azul;DIY;DZU;39,762;;DIY - DZU;3,4683;0,64;0,184528443
284;FCA;Mapele - Monte Azul;DZU;DWN;26,793;;DZU - DWN;6,74162;0,64;0,094932672
285;FCA;Mapele - Monte Azul;DWN;DKY;24,798;;DWN - DKY;6,47794;0,64;0,09879684
286;FCA;Mapele - Monte Azul;DKY;DFC;14,322;;DKY - DFC;10,29101;0,64;0,062190203
287;FCA;Mapele - Monte Azul;DFC;DHX;34,716;;DFC - DHX;5,15589;0,64;0,124129879
288;FCA;Mapele - Monte Azul;DHX;DOV;11,666;;DHX - DOV;15,53418;0,64;0,041199471
289;FCA;Mapele - Monte Azul;DOV;DUV;25,044;;DOV - DUV;7,96448;0,64;0,080356784
290;FCA;Mapele - Monte Azul;DUV;DCB;16,546;;DUV - DCB;10,7778;0,64;0,059381321
291;FCA;Mapele - Monte Azul;DCB;DRU;8,224;;DCB - DRU;17,61839;0,64;0,03632568
292;FCA;Mapele - Monte Azul;DRU;DKZ;8,469;;DRU - DKZ;18,44323;0,64;0,03470108
293;FCA;Mapele - Monte Azul;DKZ;DMD;26,624;;DKZ - DMD;7,37181;0,9;0,122086706
294;FCA;Mapele - Monte Azul;DMD;DDH;27,042;;DMD - DDH;7,48903;0,9;0,120175777
295;FCA;Mapele - Monte Azul;DDH;DKC;21,896;;DDH - DKC;9,47662;0,9;0,09497057
296;FCA;Mapele - Monte Azul;DKC;DPL;30,365;;DKC - DPL;6,21619;0,9;0,144783219
297;FCA;Mapele - Monte Azul;DPL;DLL;17,972;;DPL - DLL;13,65026;0,9;0,06593281
298;FCA;Mapele - Monte Azul;DLL;DEO;16,021;;DLL - DEO;12,08313;0,9;0,074484012
299;FCA;Mapele - Monte Azul;DEO;DUN;29,774;;DEO - DUN;5,6778;0,9;0,1585121
300;FCA;Mapele - Monte Azul;DUN;DEN;27,399;;DUN - DEN;8,37346;0,9;0,107482451
301;FCA;Mapele - Monte Azul;DEN;DMN;16,827;;DEN - DMN;11,04033;0,9;0,081519302
302;FCA;Mapele - Monte Azul;DMN;EMA;23,385;;DMN - EMA;8,61563;0,9;0,10446131
303;FCA;São Francisco - Petrolina;DSF;DAM;14,077;;DSF - DAM;8,01292;0,97;0,121054497
304;FCA;São Francisco - Petrolina;DAM;D10;19,355;;DAM - D10;7,83203;0,97;0,123850394
305;FCA;São Francisco - Petrolina;D10;DIA;8,595;;D10 - DIA;7,83203;0,97;0,123850394
306;FCA;São Francisco - Petrolina;DIA;DAF;24,306;;DIA - DAF;4,9448;0,97;0,196165669
307;FCA;São Francisco - Petrolina;DAF;DLM;17,92;;DAF - DLM;6,67226;0,97;0,145378028
308;FCA;São Francisco - Petrolina;DLM;DSH;21,298;;DLM - DSH;5,2516;0,97;0,184705614
309;FCA;São Francisco - Petrolina;DSH;DFT;17,926;;DSH - DFT;5,77583;0,97;0,167941231
310;FCA;São Francisco - Petrolina;DFT;DWL;18,56;;DFT - DWL;6,72495;0,97;0,144238991
311;FCA;São Francisco - Petrolina;DWL;D26;15,869;;DWL - D26;6,27822;0,97;0,154502391
312;FCA;São Francisco - Petrolina;D26;DSI;17,371;;D26 - DSI;6,27822;0,97;0,154502391
313;FCA;São Francisco - Petrolina;DSI;D11;27,637;;DSI - D11;5,00528;0,97;0,193795352
314;FCA;São Francisco - Petrolina;D11;DQM;18,703;;D11 - DQM;5,00528;0,97;0,193795352
315;FCA;São Francisco - Petrolina;DQM;D12;18,838;;DQM - D12;6,9164;0,97;0,140246371
316;FCA;São Francisco - Petrolina;D12;DHT;23,286;;D12 - DHT;6,9164;0,97;0,140246371
317;FCA;São Francisco - Petrolina;DHT;DQE;28,537;;DHT - DQE;5,91067;0,23;0,038912678
318;FCA;São Francisco - Petrolina;DQE;DBO;24,495;;DQE - DBO;5,91067;0,23;0,038912678
319;FCA;São Francisco - Petrolina;DBO;DJG;27,024;;DBO - DJG;3,77199;0;0
320;FCA;São Francisco - Petrolina;DJG;DNH;34,774;;DJG - DNH;3,42978;0;0
321;FCA;São Francisco - Petrolina;DNH;DTJ;62,426;;DNH - DTJ;3,57038;0;0
322;FCA;São Francisco - Petrolina;DTJ;DJZ;4,46;;DTJ - DJZ;3,57038;0;0
323;FCA;São Francisco - Petrolina;DJZ;D15;4,232;;DJZ - D15;3,57038;0;0
324;FCA;Angra dos Reis - Eng. Bhering;EAR;EJS;19,87;;EAR - EJS;2,74695;0;0
325;FCA;Angra dos Reis - Eng. Bhering;EJS;EVY;24,438;;EJS - EVY;3,03251;0;0
326;FCA;Angra dos Reis - Eng. Bhering;EVY;ERC;19,846;;EVY - ERC;4,63208;0;0
327;FCA;Angra dos Reis - Eng. Bhering;ERC;ELH;19,124;;ERC - ELH;6,02171;0;0
328;FCA;Angra dos Reis - Eng. Bhering;ELH;EBM;23,409;;ELH - EBM;4,01447;0;0
329;FCA;Angra dos Reis - Eng. Bhering;EBM;EAB;8,026;;EBM - EAB;19,85492;2,83;0,142533941
330;FCA;Angra dos Reis - Eng. Bhering;EAB;EGR;5,39;;EAB - EGR;22,32036;2,83;0,12679007
331;FCA;Angra dos Reis - Eng. Bhering;EGR;EQT;10,099;;EGR - EQT;22,32036;2,83;0,12679007
332;FCA;Angra dos Reis - Eng. Bhering;EQT;EFL;17,153;;EQT - EFL;11,1175;2,83;0,254553632
333;FCA;Angra dos Reis - Eng. Bhering;EFL;EPV;10,748;;EFL - EPV;17,1489;2,83;0,165025162
334;FCA;Angra dos Reis - Eng. Bhering;EPV;EEU;10,117;;EPV - EEU;13,80449;2,83;0,205005763
335;FCA;Angra dos Reis - Eng. Bhering;EEU;EEP;11,042;;EEU - EEP;13,41139;2,83;0,211014667
336;FCA;Angra dos Reis - Eng. Bhering;EEP;EKW;18,988;;EEP - EKW;9,39844;2,83;0,301113802
337;FCA;Angra dos Reis - Eng. Bhering;EKW;EAT;17,61;;EKW - EAT;10,10355;2,83;0,280099569
338;FCA;Angra dos Reis - Eng. Bhering;EAT;ELN;25,177;;EAT - ELN;7,78071;2,83;0,36372002
339;FCA;Angra dos Reis - Eng. Bhering;ELN;ESV;20,819;;ELN - ESV;8,53625;2,83;0,33152731
340;FCA;Angra dos Reis - Eng. Bhering;ESV;EAN;25,924;;ESV - EAN;6,84119;2,83;0,413670721
341;FCA;Angra dos Reis - Eng. Bhering;EAN;ETU;19,38;;EAN - ETU;8,66523;2,83;0,326592601
342;FCA;Angra dos Reis - Eng. Bhering;ETU;EKA;12,8;;ETU - EKA;14,15447;2,83;0,19993684
343;FCA;Angra dos Reis - Eng. Bhering;EKA;EPF;18,722;;EKA - EPF;10,94715;2,83;0,258514773
344;FCA;Angra dos Reis - Eng. Bhering;EPF;EII;21,164;;EPF - EII;8,37928;2,83;0,337737849
345;FCA;Angra dos Reis - Eng. Bhering;EII;EIR;11,174;;EII - EIR;18,20035;2,83;0,155491515
346;FCA;Angra dos Reis - Eng. Bhering;EIR;EEB;15,474;;EIR - EEB;13,93915;2,83;0,203025292
347;FCA;Araguari - Roncador Novo;EAU;EYH;20,05;;EAU - EYH;9,68343;1,24;0,128053799
348;FCA;Araguari - Roncador Novo;EYH;EYG;28,1;;EYH - EYG;9,32566;1,24;0,13296646
349;FCA;Araguari - Roncador Novo;EYG;EGN;21,85;;EYG - EGN;9,90646;1,24;0,125170848
350;FCA;Araguari - Roncador Novo;EGN;EVV;30,1;;EGN - EVV;8,90692;0,75;0,084204192
351;FCA;Araguari - Roncador Novo;EVV;EPO;19,22;;EVV - EPO;11,64902;0,75;0,064383098
352;FCA;Araguari - Roncador Novo;EPO;ENJ;13,08;;EPO - ENJ;19,36687;0,75;0,038725927
353;FCA;Araguari - Roncador Novo;ENJ;EPZ;33,267;;ENJ - EPZ;8,30827;0,75;0,090271501
354;FCA;Calafate - General Carneiro;ECL;EBH;5;;ECL - EBH;0;0;0
355;FCA;Calafate - General Carneiro;EBH;EHF;5;;EBH - EHF;0;0;0
356;FCA;Calafate - General Carneiro;EHF;OCR;7;;EHF - OCR;0;0;0
357;FCA;Calafate - General Carneiro;OCR;EGC;2;;OCR - EGC;0;0;0
358;FCA;Ramal de Pirapora;ECO;ECW;22,849;;ECO - ECW;15,7607;0,43;0,027283052
359;FCA;Ramal de Pirapora;ECW;E20;19,268;;ECW - E20;5,12112;0,43;0,083966007
360;FCA;Ramal de Pirapora;E20;ELA;24,7;;E20 - ELA;2,08952;0,43;0,205788889
361;FCA;Ramal de Pirapora;ELA;EVZ;43,586;;ELA - EVZ;4,3204;0,43;0,099527821
362;FCA;Ramal de Pirapora;EVZ;EPP;42,519;;EVZ - EPP;3,38624;0,43;0,126984502
363;FCA;Ramal de Pirapora;EPP;E22;2,779;;EPP - E22;3,38624;0;0
364;FCA;Ferrugem - Calafate;EFR;EGM;5,599;;EFR - EGM;23,42951;0,28;0,011950741
365;FCA;Ferrugem - Calafate;EGM;ECL;2,451;;EGM - ECL;22,98201;0,28;0,012183443
366;FCA;Ferrugem - Eldorado;EFR;EPI;1,549;;EFR - EPI;28,90976;0,31;0,010723022
367;FCA;Ferrugem - Eldorado;EPI;EEL;1;;EPI - EEL;25,08557;0,88;0,035079928
368;FCA;Goiandira - Posto Eyc;EGN;ELC;25;;EGN - ELC;5,26912;0,49;0,092994656
369;FCA;Goiandira - Posto Eyc;ELC;EYC;8;;ELC - EYC;26,50656;0,09;0,003395386
370;FCA;Ramal de Anápolis;ELB;EGA;35,525;;ELB - EGA;4,42726;0,21;0,047433401
371;FCA;Ramal de Anápolis;EGA;E07;5;;EGA - E07;4,42726;0;0
372;FCA;Catalão - Adm;ELC;EAE;1;;ELC - EAE;13,68431;0,09;0,006576875
373;FCA;Prudente de Morais - Calsete;EPM;EKE;6,384;;EPM - EKE;6,69079;0;0
374;FCA;Roncador Novo - Brasília;EPZ;EBU;55,914;;EPZ - EBU;4,86517;0,54;0,110993038
375;FCA;Roncador Novo - Brasília;EBU;EYZ;31,221;;EBU - EYZ;5,97875;0,54;0,090319883
376;FCA;Roncador Novo - Brasília;EYZ;EBW;38,382;;EYZ - EBW;4,59592;0,57;0,124023047
377;FCA;Roncador Novo - Brasília;EBW;EJI;60,888;;EBW - EJI;3,68784;0,57;0,15456202
378;FCA;Roncador Novo - Brasília;EJI;EJK;45,267;;EJI - EJK;3,65971;0,57;0,155750046
379;FCA;Roncador Novo - Brasília;EJK;EBZ;12,895;;EJK - EBZ;12,12083;0,57;0,047026483
380;FCA;Roncador Novo - Moinho Goiás;EPZ;EPY;8,96;;EPZ - EPY;15,61651;0,21;0,013447307
381;FCA;Roncador Novo - Moinho Goiás;EPY;EYK;13,907;;EPY - EYK;12,49179;0,21;0,016811041
382;FCA;Roncador Novo - Moinho Goiás;EYK;EEG;22,391;;EYK - EEG;7,75413;0,21;0,027082342
383;FCA;Roncador Novo - Moinho Goiás;EEG;ECY;20,877;;EEG - ECY;8,89167;0,21;0,023617611
384;FCA;Roncador Novo - Moinho Goiás;ECY;EVI;28,305;;ECY - EVI;6,2765;0,21;0,033458137
385;FCA;Roncador Novo - Moinho Goiás;EVI;ESN;17;;EVI - ESN;7,29524;0,21;0,028785893
386;FCA;Roncador Novo - Moinho Goiás;ESN;ELB;18,394;;ESN - ELB;7,29524;0,21;0,028785893
387;FCA;Roncador Novo - Moinho Goiás;ELB;EMO;19;;ELB - EMO;8,10032;0;0
388;FCA;Roncador Novo - Moinho Goiás;EMO;EBF;19,62;;EMO - EBF;8,10032;0;0
389;FCA;Roncador Novo - Moinho Goiás;EBF;ECD;28,71;;EBF - ECD;4,8563;0;0
390;FCA;Roncador Novo - Moinho Goiás;ECD;EOO;17,219;;ECD - EOO;7,11794;0;0
391;FCA;Roncador Novo - Moinho Goiás;EOO;E06;5,051;;EOO - E06;7,11794;0;0
392;FCA;Sabará - Siderúrgica;ESR;ESI;2;;ESR - ESI;16,25962;0;0
393;FCA;Campos - Recreio;GCS;GSZ;7,82;;GCS - GSZ;9,02141;0;0
394;FCA;Campos - Recreio;GSZ;GIR;11,083;;GSZ - GIR;7,07197;0;0
395;FCA;Campos - Recreio;GIR;G24;5;;GIR - G24;6,31439;0;0
396;FCA;Campos - Recreio;G24;G08;12;;G24 - G08;6,31439;0;0
397;FCA;Campos - Recreio;G08;GSF;15,401;;G08 - GSF;6,31439;0;0
398;FCA;Campos - Recreio;GSF;GVZ;17;;GSF - GVZ;7,41353;0;0
399;FCA;Campos - Recreio;GVZ;GBI;9;;GVZ - GBI;7,41353;0;0
400;FCA;Campos - Recreio;GBI;GTY;10;;GBI - GTY;7,41353;0;0
401;FCA;Campos - Recreio;GTY;GAE;13,898;;GTY - GAE;7,41353;0;0
402;FCA;Campos - Recreio;GAE;G09;10;;GAE - G09;4,02697;0;0
403;FCA;Campos - Recreio;G09;GAP;9,828;;G09 - GAP;4,02697;0;0
404;FCA;Campos - Recreio;GAP;GPQ;10,4;;GAP - GPQ;2,92742;0;0
405;FCA;Campos - Recreio;GPQ;GRO;36,453;;GPQ - GRO;2,92742;0;0
406;FCA;Macaé - Imbetiba;GME;G15;2;;GME - G15;7,39509;0;0
407;FCA;Rocha Leão - Fazenda União;GRL;GFU;3;;GRL - GFU;12,77333;0;0
408;FCA;Recreio - Ligação (Linha do Centro);GRO;GRJ;13,014;;GRO - GRJ;11,01971;0;0
409;FCA;Recreio - Ligação (Linha do Centro);GRJ;GVA;8;;GRJ - GVA;12,20083;0;0
410;FCA;Recreio - Ligação (Linha do Centro);GVA;GCZ;17,308;;GVA - GCZ;12,20083;0;0
411;FCA;Recreio - Ligação (Linha do Centro);GCZ;GBC;8,762;;GCZ - GBC;13,73632;0;0
412;FCA;Recreio - Ligação (Linha do Centro);GBC;GLI;50,7;;GBC - GLI;16,25962;0;0
413;FCA;Visconde de Itaboraí - Vitória;HVI;GVP;7,4;;HVI - GVP;15,0158;0;0
414;FCA;Visconde de Itaboraí - Vitória;GVP;GTG;13;;GVP - GTG;15,0158;0;0
415;FCA;Visconde de Itaboraí - Vitória;GTG;GRB;10,485;;GTG - GRB;15,0158;0;0
416;FCA;Visconde de Itaboraí - Vitória;GRB;GJM;26,664;;GRB - GJM;6,19917;0;0
417;FCA;Visconde de Itaboraí - Vitória;GJM;GCU;32,69;;GJM - GCU;2,34922;0;0
418;FCA;Visconde de Itaboraí - Vitória;GCU;GRD;16;;GCU - GRD;10,94889;0;0
419;FCA;Visconde de Itaboraí - Vitória;GRD;GRL;8,577;;GRD - GRL;10,94889;0;0
420;FCA;Visconde de Itaboraí - Vitória;GRL;GJD;6;;GRL - GJD;7,9235;0;0
421;FCA;Visconde de Itaboraí - Vitória;GJD;GME;23,537;;GJD - GME;7,9235;0;0
422;FCA;Visconde de Itaboraí - Vitória;GME;GUP;27,964;;GME - GUP;3,79747;0;0
423;FCA;Visconde de Itaboraí - Vitória;GUP;GCA;16;;GUP - GCA;15,81768;0;0
424;FCA;Visconde de Itaboraí - Vitória;GCA;GDM;15,628;;GCA - GDM;16,0083;0;0
425;FCA;Visconde de Itaboraí - Vitória;GDM;GUM;24,627;;GDM - GUM;9,2914;0;0
426;FCA;Visconde de Itaboraí - Vitória;GUM;GCC;3,305;;GUM - GCC;14,78153;0;0
427;FCA;Visconde de Itaboraí - Vitória;GCC;GCS;6,089;;GCC - GCS;10,17754;0;0
428;FCA;Visconde de Itaboraí - Vitória;GCS;GAD;14;;GCS - GAD;12,49017;0;0
429;FCA;Visconde de Itaboraí - Vitória;GAD;GTV;3;;GAD - GTV;12,49017;0;0
430;FCA;Visconde de Itaboraí - Vitória;GTV;GCJ;13;;GTV - GCJ;12,49017;0;0
431;FCA;Visconde de Itaboraí - Vitória;GCJ;GVL;10;;GCJ - GVL;11,72825;0;0
432;FCA;Visconde de Itaboraí - Vitória;GVL;GMU;10,431;;GVL - GMU;11,72825;0;0
433;FCA;Visconde de Itaboraí - Vitória;GMU;GSM;14;;GMU - GSM;10,88678;0;0
434;FCA;Visconde de Itaboraí - Vitória;GSM;GSE;6,602;;GSM - GSE;10,88678;0;0
435;FCA;Visconde de Itaboraí - Vitória;GSE;GPI;1,4;;GSE - GPI;12,27121;0;0
436;FCA;Visconde de Itaboraí - Vitória;GPI;GDA;10;;GPI - GDA;12,27121;0;0
437;FCA;Visconde de Itaboraí - Vitória;GDA;GIU;13,793;;GDA - GIU;12,27121;0;0
438;FCA;Visconde de Itaboraí - Vitória;GIU;GMS;12,261;;GIU - GMS;8,39784;0;0
439;FCA;Visconde de Itaboraí - Vitória;GMS;GMQ;15;;GMS - GMQ;7,46368;0;0
440;FCA;Visconde de Itaboraí - Vitória;GMQ;GSO;10,048;;GMQ - GSO;7,46368;0;0
441;FCA;Visconde de Itaboraí - Vitória;GSO;GAQ;10,804;;GSO - GAQ;9,53267;0;0
442;FCA;Visconde de Itaboraí - Vitória;GAQ;GHS;10;;GAQ - GHS;13,26535;0;0
443;FCA;Visconde de Itaboraí - Vitória;GHS;GCI;10;;GHS - GCI;13,26535;0;0
444;FCA;Visconde de Itaboraí - Vitória;GCI;GGR;2,571;;GCI - GGR;13,26535;0;0
445;FCA;Visconde de Itaboraí - Vitória;GGR;GCL;5,246;;GGR - GCL;16,59745;0;0
446;FCA;Visconde de Itaboraí - Vitória;GCL;GSU;13;;GCL - GSU;11,4994;0;0
447;FCA;Visconde de Itaboraí - Vitória;GSU;GJG;13;;GSU - GJG;11,4994;0;0
448;FCA;Visconde de Itaboraí - Vitória;GJG;GVR;6,191;;GJG - GVR;11,4994;0;0
449;FCA;Visconde de Itaboraí - Vitória;GVR;GIP;15;;GVR - GIP;10,39108;0;0
450;FCA;Visconde de Itaboraí - Vitória;GIP;GIB;14,209;;GIP - GIB;10,39108;0;0
451;FCA;Visconde de Itaboraí - Vitória;GIB;GMD;10;;GIB - GMD;11,18632;0;0
452;FCA;Visconde de Itaboraí - Vitória;GMD;GAG;12,272;;GMD - GAG;11,18632;0;0
453;FCA;Visconde de Itaboraí - Vitória;GAG;GMF;17,361;;GAG - GMF;7,62702;0;0
454;FCA;Visconde de Itaboraí - Vitória;GMF;GVN;28,66;;GMF - GVN;4,54243;0;0
455;FCA;Visconde de Itaboraí - Vitória;GVN;VPV;20,536;;GVN - VPV;12,41956;0;0
456;FCA;Ramal de Caldas;ZAI;ZHV;29,42;;ZAI - ZHV;4,3722;0,31;0,07090252
457;FCA;Ramal de Caldas;ZHV;ZAQ;13,032;;ZHV - ZAQ;9,50239;0,31;0,032623372
458;FCA;Ramal de Caldas;ZAQ;ZBA;24,348;;ZAQ - ZBA;6,13547;0,31;0,050525877
459;FCA;Ramal de Caldas;ZBA;ZXC;8,609;;ZBA - ZXC;6,13547;0;0
460;FCA;Casa Branca - Uberaba;ZCB;ZKB;13,173;;ZCB - ZKB;15,18129;6,99;0,46043518
461;FCA;Casa Branca - Uberaba;ZKB;ZTD;16,602;;ZKB - ZTD;15,18129;6,99;0,46043518
462;FCA;Casa Branca - Uberaba;ZTD;ZHM;22,756;;ZTD - ZHM;15,63168;6,99;0,447168826
463;FCA;Casa Branca - Uberaba;ZHM;ZHI;17,298;;ZHM - ZHI;12,22079;6,99;0,571976116
464;FCA;Casa Branca - Uberaba;ZHI;ZCE;11;;ZHI - ZCE;10,98538;6,99;0,636300246
465;FCA;Casa Branca - Uberaba;ZCE;ZEK;22,061;;ZCE - ZEK;22,9459;6,99;0,304629585
466;FCA;Casa Branca - Uberaba;ZEK;ZEG;20,501;;ZEK - ZEG;14,16212;6,99;0,493570172
467;FCA;Casa Branca - Uberaba;ZEG;ZRP;8,793;;ZEG - ZRP;23,0883;6,99;0,302750744
468;FCA;Casa Branca - Uberaba;ZRP;ZJN;19,843;;ZRP - ZJN;12,50544;6,35;0,507779015
469;FCA;Casa Branca - Uberaba;ZJN;ZKR;15,21;;ZJN - ZKR;16,57629;6,35;0,383077275
470;FCA;Casa Branca - Uberaba;ZKR;ZOL;21,503;;ZKR - ZOL;9,96205;6,35;0,637419005
471;FCA;Casa Branca - Uberaba;ZOL;ZHB;22,193;;ZOL - ZHB;11,59881;6,35;0,547469956
472;FCA;Casa Branca - Uberaba;ZHB;ZGU;14,203;;ZHB - ZGU;16,31603;6,35;0,389187811
473;FCA;Casa Branca - Uberaba;ZGU;ZYW;11,6;;ZGU - ZYW;12,89303;4,65;0,360659985
474;FCA;Casa Branca - Uberaba;ZYW;ZWA;34,549;;ZYW - ZWA;7,0418;4,65;0,660342526
475;FCA;Casa Branca - Uberaba;ZWA;ZVF;8,89;;ZWA - ZVF;22,71161;4,65;0,204741099
476;FCA;Casa Branca - Uberaba;ZVF;ZQQ;15,77;;ZVF - ZQQ;15,20282;4,5;0,295997716
477;FCA;Casa Branca - Uberaba;ZQQ;ZUB;16,788;;ZQQ - ZUB;10,07221;4,5;0,446773846
478;FCA;Ramal de Evangelina - Itaú;ZEG;ZBK;18,125;;ZEG - ZBK;7,06762;0;0
479;FCA;Ramal de Evangelina - Itaú;ZBK;ZIT;128,973;;ZBK - ZIT;16,25962;0;0
480;FCA;Ramal Ribeirão Preto - Passagem;ZRP;ZBE;8,301;;ZRP - ZBE;16,25962;0;0
481;FCA;Ramal Ribeirão Preto - Passagem;ZBE;ZSZ;23;;ZBE - ZSZ;16,25962;0;0
482;FCA;Ramal Ribeirão Preto - Passagem;ZSZ;ZPL;31;;ZSZ - ZPL;16,25962;0;0
483;FCA;Uberaba - Araguari;ZUB;ZXX;10,923;;ZUB - ZXX;0;0;0
484;FCA;Uberaba - Araguari;ZXX;ZMN;12;;ZXX - ZMN;13,44738;4,5;0,334637677
485;FCA;Uberaba - Araguari;ZMN;ZXJ;20,3;;ZMN - ZXJ;10,54913;4,5;0,426575462
486;FCA;Uberaba - Araguari;ZXJ;ZZB;34,298;;ZXJ - ZZB;6,37301;4,5;0,706102768
487;FCA;Uberaba - Araguari;ZZB;ZYE;10,929;;ZZB - ZYE;18,78221;0,97;0,051644615
488;FCA;Uberaba - Araguari;ZYE;ZHU;21,9;;ZYE - ZHU;12,32161;0,97;0,078723479
489;FCA;Uberaba - Araguari;ZHU;ZUL;21,37;;ZHU - ZUL;9,46938;0,97;0,102435429
490;FCA;Uberaba - Araguari;ZUL;ZHF;24,808;;ZUL - ZHF;7,47282;0,97;0,129803742
491;FCA;Uberaba - Araguari;ZHF;EAU;21,827;;ZHF - EAU;11,21771;0,97;0,086470412
492;FCA;Três Rios - Japeri;GLE;GCD;11,216;;GLE - GCD;25,14555;0;0
493;FCA;Três Rios - Japeri;GCD;GAR;5,919;;GCD - GAR;41,07089;0;0
494;FCA;Três Rios - Japeri;GAR;GVC;9,729;;GAR - GVC;28,21702;0;0
495;FCA;Três Rios - Japeri;GVC;GGP;9,306;;GVC - GGP;29,23277;0;0
496;FCA;Três Rios - Japeri;GGP;GFM;4,484;;GGP - GFM;49,57696;0;0
497;FCA;Três Rios - Japeri;GFM;GPY;6,234;;GFM - GPY;39,5802;0;0
498;FCA;Três Rios - Japeri;GPY;GAV;15,087;;GPY - GAV;19,59343;0;0
499;FCA;Três Rios - Japeri;GAV;GWR;19,525;;GAV - GWR;15,63547;0;0
500;FCA;Três Rios - Japeri;GWR;FBN;35,446;;GWR - FBN;9,06573;0;0
501;FCA;Três Rios - Japeri;FBN;FCQ;1,494;;FBN - FCQ;31,08705;0;0
502;FCA;Três Rios - Japeri;FCQ;FTR;3,657;;FCQ - FTR;31,08705;0;0
503;FCA;Salvador - Propriá;DPE;DMP;3,751;;DPE - DMP;16,25962;0;0
504;FCA;Salvador - Propriá;DMP;DMF;6,326;;DMP - DMF;19,98673;0,08;0,004002656
505;FCA;Salvador - Propriá;DMF;DGC;5,495;;DMF - DGC;21,95417;0,08;0,003643955
506;FCA;Salvador - Propriá;DGC;DUF;4,89;;DGC - DUF;21,95417;0,08;0,003643955
507;FCA;Salvador - Propriá;DUF;DCC;8,029;;DUF - DCC;21,95417;0,08;0,003643955
508;FCA;Salvador - Propriá;DCC;DCP;6,914;;DCC - DCP;24,42886;0,08;0,003274815
509;FCA;Salvador - Propriá;DCP;DDA;3,819;;DCP - DDA;14,8763;0;0
510;FCA;Salvador - Propriá;DDA;DAH;5,487;;DDA - DAH;23,32706;0;0
511;FCA;Salvador - Propriá;DAH;DMJ;5,647;;DAH - DMJ;23,32706;0;0
512;FCA;Salvador - Propriá;DMJ;DQJ;12,748;;DMJ - DQJ;15,28631;0;0
513;FCA;Salvador - Propriá;DQJ;DIX;3,214;;DQJ - DIX;15,28631;0;0
514;FCA;Salvador - Propriá;DIX;DWG;2,004;;DIX - DWG;25,876;0,97;0,037486474
515;FCA;Salvador - Propriá;DWG;DKT;6,224;;DWG - DKT;25,876;0,97;0,037486474
516;FCA;Salvador - Propriá;DKT;DUL;6,841;;DKT - DUL;21,04444;0,97;0,046092935
517;FCA;Salvador - Propriá;DUL;DNV;7,884;;DUL - DNV;21,04444;0,97;0,046092935
518;FCA;Salvador - Propriá;DNV;DSF;15,285;;DNV - DSF;11,01293;0,97;0,088078286
519;FCA;Salvador - Propriá;DSF;DSE;17,55;;DSF - DSE;6,40073;0;0
520;FCA;Salvador - Propriá;DSE;DOD;24,217;;DSE - DOD;4,90996;0;0
521;FCA;Salvador - Propriá;DOD;DLR;21,182;;DOD - DLR;5,79688;0;0
522;FCA;Salvador - Propriá;DLR;DEP;21,068;;DLR - DEP;4,33863;0;0
523;FCA;Salvador - Propriá;DEP;DAK;20,708;;DEP - DAK;5,94947;0;0
524;FCA;Salvador - Propriá;DAK;DRR;33,142;;DAK - DRR;4,77859;0;0
525;FCA;Salvador - Propriá;DRR;DII;34,895;;DRR - DII;4,59923;0;0
526;FCA;Salvador - Propriá;DII;DBQ;33,471;;DII - DBQ;4,42123;0;0
527;FCA;Salvador - Propriá;DSA;DRC;37,042;;DSA - DRC;4,05463;0;0
528;FCA;Salvador - Propriá;DRC;DKJ;34,559;;DRC - DKJ;4,0484;0;0
529;FCA;Salvador - Propriá;DRI;DRT;20,475;;DRI - DRT;8,84431;0;0
530;FCA;Salvador - Propriá;DRT;DMT;23,854;;DRT - DMT;7,46317;0;0
531;FCA;Salvador - Propriá;DMT;DQA;48,7;;DMT - DQA;2,90904;0;0
532;FCA;Três Rios - Recreio;FTR;GPG;15;;FTR - GPG;15,5323;0;0
533;FCA;Três Rios - Recreio;GPG;GAT;11,521;;GPG - GAT;15,5323;0;0
534;FCA;Três Rios - Recreio;GAT;GPN;37;;GAT - GPN;3,48639;0;0
535;FCA;Três Rios - Recreio;GPN;GON;1,27;;GPN - GON;58,49114;0;0
536;FCA;Três Rios - Recreio;GON;G07;1;;GON - G07;18,17433;0;0
537;FCA;Três Rios - Recreio;G07;GFB;9;;G07 - GFB;18,17433;0;0
538;FCA;Três Rios - Recreio;GFB;GVG;15,216;;GFB - GVG;12,04768;0;0
